name,prompt_validation,embedding_validation,rouge,rouge_baseline
ida,1.0,1.0,0.1563582384957941,0.1115089514066496
externalised-reasoning,0.8,0.8,0.1836130306021717,0.1345565749235474
conditioning-restrictions,0.7,0.8,0.1381112355356476,0.0790697674418604
neuroconnectionism,1.0,1.0,0.2124413145539905,0.1576053756872327
cyborgism,0.7,0.5,0.0431077694235588,0.0290734420427253
conditioning-predictive-models,1.0,1.0,0.0713929106340489,0.0536301543131798
simulators,0.6,0.7,0.0329111742913758,0.023906453009961
prosaic-ai-alignment,1.0,0.6,0.1087289433384379,0.0595001983339944
gradient-filtering,0.7,0.3,0.0820668693009118,0.0650948231676063
conditioning-alignment,0.7,0.8,0.05741626794258373,0.04219001610305958
